Article,Faculty,FacultyID,ResearchArea
Time to Electrify,Michael B. McElroy,1525,Environment|Climate
"To counter gangs, Springfield adopts tactics from war zones",Kit Parker,1577,Academics
"To diagnose heart disease, visualization experts recommend a simpler approach",Hanspeter Pfister,1566,Computer Science|Applied Physics
To infinity and beyond,Eric Mazur,1561,
"Tough gel stretches to 21 times its length, recoils, and heals itself",Zhigang Suo,1553,Materials
Tough gel technology licensed to Amend Surgical for oral surgery applications,David Mooney,1579,Bioengineering|Technology
Towards a better catalyst,Joanna Aizenberg,1527,Materials
Towards an unhackable quantum internet,Marko Loncar,1541,Quantum Engineering
"Toxic mercury, accumulating in the Arctic, springs from a hidden source",Daniel J. Jacob,1559,Environment|Climate
Transforming materials,Katia Bertoldi,1598,Materials
Transmitting energy in soft materials,Katia Bertoldi,1598,Materials
Transparent artificial muscle plays Grieg to prove a point,Zhigang Suo,1553,Materials|Electrical Engineering
Trial balloon: a tiny geoengineering project,James G. Anderson|David Keith,1732|1688,Environment|Climate|Applied Physics
Tunable diamond string may hold key to quantum memory,Marko Loncar,1541,Electrical Engineering
"Tunable windows for privacy, camouflage",David Clarke,1731,Materials
"Tut, tut: Microbial growth in pharaoh's tomb suggests burial was a rush job",Ralph Mitchell,1529,Bioengineering
Two faculty from SEAS earn HGWISE mentorship honors,Evelyn Hu,1545,Diversity / Inclusion|Applied Physics|Applied Mathematics
Two SEAS affiliates win NIH Director's Awards,Sharad Ramanathan,1588,Awards|Applied Physics|Applied Mathematics
Two SEAS faculty elected to the American Philosophical Society,Joanna Aizenberg|Cynthia Dwork,1527|1865,
Two SEAS faculty win prestigious NSF CAREER Awards,Stephen Chong|Sharad Ramanathan,1605|1588,Computer Science|Bioengineering|Awards
Two SEAS profs envision the next big ideas in teaching and learning,Jonathan Zittrain|Gu-Yeon Wei,1639|1563,Electrical Engineering|Computer Science|Academics
Typos mean big revenue for search giant Google,Benjamin Edelman,2837,Computer Science
U.S. methane emissions exceed government estimates,Steven C. Wofsy,1531,Environment|Climate
"Ultrathin, flat lens resolves chirality and color",Federico Capasso,1580,Optics / Photonics|Applied Physics
Undergraduate innovators put imagination to work,William Marks [REMOVED 2020-11-05],1756,Entrepreneurship
"Undergraduate Summer Research Spotlight: Caleb Ringkob, S.B. ‘19",Maurice Smith,1532,Bioengineering
Undergraduates develop ‘dirt-powered’ microbial fuel cells to light Africa,David A. Edwards,1570,Environment|Applied Physics
Understanding pollution in a pristine rainforest,Scot T. Martin,1567,Environment|Climate
Understanding the quantum rainbow,Prineha Narang,1889,Materials|Quantum Engineering
Unhealthy ozone days could increase by more than a week in coming decades,Loretta J. Mickley,1608,Climate
Unraveling turbulence,Shmuel Rubinstein|Michael P. Brenner,1592|1556,Applied Physics
"Unregulated, agricultural ammonia threatens national parks’ ecology",Daniel J. Jacob,1559,Environment|Climate
Unveiling the ancient climate of Mars,Robin Wordsworth,1807,Climate
Up close and personal with catalysts,Boris Kozinsky|Cynthia Friend,2414|1554,AI / Machine Learning|Materials
Up-close and personal with neuronal networks,Donhee Ham,1538,Bioengineering|Electrical Engineering
Using Green Beret tactics to win peace back home,Kit Parker,1577,Academics
"Using magnetic toys, researchers tease out structures of self-assembled clusters",Vinothan N. Manoharan|Natalie Arkus|Michael P. Brenner,1552|1747|1556,Applied Physics|Applied Mathematics
Using optical chaos to control the momentum of light,Marko Loncar,1541,Optics / Photonics
Using science to create the perfect brisket,Kit Parker,1577,Academics
"Using shark scales to design better drones, planes, and wind turbines",Katia Bertoldi,1598,Bioengineering
Using space tech to avert climate Armageddon,David Keith,1688,Climate|Applied Physics
"Using static electricity, RoboBees can land and stick to surfaces",Robert J. Wood,1537,Robotics
Variability appears critical to motor learning,Maurice Smith,1532,Bioengineering
"Venkatesh ""Venky"" Narayanamurti appointed NAE foreign secretary",Venkatesh Narayanamurti,1583,Awards
"Venus-like exoplanet might have oxygen atmosphere, but not life",Robin Wordsworth,1807,Planetary Science
Vince Wu receives ADI Outstanding Designer Award,Donhee Ham,1538,Awards|Electrical Engineering
Vinothan Manoharan earns 2011 Sloan Research Fellowship,Vinothan N. Manoharan,1552,Awards|Applied Physics
Voices for diversity in STEM,Jelani Nelson,1687,Diversity / Inclusion|Events
Volkswagen’s emissions cheat to cause 60 premature deaths in U.S.,David Keith,1688,Environment
"Weighing environment, economics, and security",Michael B. McElroy,1525,Environment
"Weitz, Hu elected to American Academy of Arts & Sciences",Evelyn Hu|David A. Weitz,1545|1544,Awards
What is the right strategy to limit the spread of COVID-19?,Milind Tambe,3141,
What makes a data visualization memorable?,Hanspeter Pfister,1566,Computer Science
What the EPA’s mercury decision means for public health,Elsie M Sunderland,1607,Environment
What would pristine air mean for the climate?,Loretta J. Mickley,1608,Environment|Climate
What's behind a #1 ranking?,Hanspeter Pfister,1566,Computer Science
What’s that sound?,Eric Mazur,1561,Academics|Applied Physics
Wildfires projected to worsen with climate change,Loretta J. Mickley|Jennifer A. Logan,1608|1641,Environment|Climate
Wind power vulnerable to climate change in India,Michael B. McElroy,1525,Climate
"With a simple coating, nanowires show a dramatic increase in efficiency and sensitivity",Kwanyong Seo [REMOVED 2020-11-05],13566,Electrical Engineering
Wool-like material can remember and change shape,Kit Parker,1577,Materials|Bioengineering
World’s smallest radio receiver has building blocks the size of two atoms,Marko Loncar,1541,
Yaron Singer granted tenure,Yaron Singer,1713,Computer Science
Yiling Chen Approved for Promotion to Tenured Full Professor,Yiling Chen,1519,
Yue Lu approved tenure,Yue Lu,1651,Academics|Applied Mathematics|Electrical Engineering
Zhiming Kuang approved for promotion to tenured full professor,Zhiming Kuang,1572,Environment|Climate
‘Ants’ go marching on to optimize traffic lights,Yaron Singer,1713,Applied Mathematics
‘Groovy’ hologram creates strange state of light at visible and invisible wavelengths,Federico Capasso,1580,Applied Physics
‘Heart disease-on-a-chip’ advances tissue engineering,Kit Parker,1577,Health / Medicine|Bioengineering
‘Smoke waves’ will affect millions in coming decades,Loretta J. Mickley,1608,Environment|Climate
‘Triple Academies’ symposium will wrestle with genetics in the digital age,Jonathan Zittrain,1639,Ethics|Computer Science|Bioengineering
“Backpacks” boost immune cells’ ability to kill cancer,Samir Mitragotri,1884,Bioengineering
“Squishy” robot fingers aid deep sea exploration,Robert J. Wood,1537,
“Venky” Narayanamurti honored with Bueche Award,Venkatesh Narayanamurti,1583,Awards
